ORDERNUMBER,QUANTITYORDERED,PRICEEACH,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,STATE,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME
10215,35,100,6075.3,1/29/2004 0:00 ,Shipped   ,1,1,2004,Classic Cars,S10_1949,West Coast Collectables Co.   ,3105553722      ,3675 Furth Circle                       ,Burbank       ,CA        ,94019   ,United States,Thompson  ,Steve    
10228,29,100,6463.2,3/10/2004 0:00 ,Shipped   ,1,3,2004,Classic Cars,S10_1949,Cambridge Collectables Co.    ,6175555555      ,4658 Baden Av.                          ,Cambridge     ,MA        ,51247   ,USA          ,Tseng     ,Kyung    
10245,34,100,6120.3,5/4/2004 0:00  ,Shipped   ,2,5,2004,Classic Cars,S10_1949,Super Scale Inc.              ,2035559545      ,567 North Pendale Street                ,New Haven     ,CT        ,97823   ,United States,Murphy    ,Leslie   
10258,32,100,7680.6,6/15/2004 0:00 ,Shipped   ,2,6,2004,Classic Cars,S10_1949,"Tokyo Collectables, Ltd       ",+81 3 3584 0555 ,2-2-8 Roppongi                          ,Minato-ku     ,Tokyo     ,106-0032,Japan        ,Shimamura ,Akiko    
10270,21,100,4905.4,7/19/2004 0:00 ,Shipped   ,3,7,2004,Classic Cars,S10_1949,Souveniers And Things Co.     ,+61 2 9495 8555 ,"Monitor Money Building, 815 Pacific Hwy ",Chatswood     ,NSW       ,2067    ,Australia    ,Huxley    ,Adrian   
10280,34,100,8014.8,8/17/2004 0:00 ,Shipped   ,3,8,2004,Classic Cars,S10_1949,Amica Models & Co.            ,011-4988555     ,Via Monte Bianco 34                     ,Torino        ,,10100   ,Italy        ,Accorti   ,Paolo    
10291,37,100,7136.2,9/8/2004 0:00  ,Shipped   ,3,9,2004,Classic Cars,S10_1949,Scandinavian Gift Ideas       ,0695-34 6555    ,?kergatan 24                            ,Br„cke        ,,S-844 67,Sweden       ,Larsson   ,Maria    
10304,47,100,10172.7,10/11/2004 0:00,Shipped   ,4,10,2004,Classic Cars,S10_1949,Auto Associ‚s & Cie.          ,30.59.8555      ,"67, avenue de l'Europe                  ",Versailles    ,,78000   ,France       ,Tonini    ,Daniel   
10312,48,100,11623.7,10/21/2004 0:00,Shipped   ,4,10,2004,Classic Cars,S10_1949,Mini Gifts Distributors Ltd.  ,4155551450      ,5677 Strong St.                         ,San Rafael    ,CA        ,97562   ,USA          ,Nelson    ,Valarie  
10322,40,100,6000.4,11/4/2004 0:00 ,Shipped   ,4,11,2004,Classic Cars,S10_1949,Online Diecast Creations Co.  ,6035558647      ,2304 Long Airport Avenue                ,Nashua        ,NH        ,62005   ,USA          ,Young     ,Valarie  
10333,26,100,3003,11/18/2004 0:00,Shipped   ,4,11,2004,Classic Cars,S10_1949,Mini Wheels Co.               ,6505555787      ,5557 North Pendale Street               ,San Francisco ,CA        ,,United States,Murphy    ,Julie    
10347,30,100,3944.7,11/29/2004 0:00,Shipped   ,4,11,2004,Classic Cars,S10_1949,"Australian Collectors, Co.    ",03 9520 4555    ,636 St Kilda Road                       ,Melbourne     ,Victoria  ,3004    ,Australia    ,Ferguson  ,Peter    
10357,32,100,5691.8,12/10/2004 0:00,Shipped   ,4,12,2004,Classic Cars,S10_1949,Mini Gifts Distributors Ltd.  ,4155551450      ,5677 Strong St.                         ,San Rafael    ,CA        ,97562   ,United States,Nelson    ,Valarie  
10369,41,100,4514.9,1/20/2005 0:00 ,Shipped   ,1,1,2005,Classic Cars,S10_1949,Collectables For Less Inc.    ,6175558555      ,7825 Douglas Av.                        ,Brickhaven    ,MA        ,58339   ,USA          ,Nelson    ,Allen    
10381,36,100,8254.8,2/17/2005 0:00 ,Shipped   ,1,2,2005,Classic Cars,S10_1949,Corporate Gift Ideas Co.      ,6505551386      ,7734 Strong St.                         ,San Francisco ,CA        ,,USA          ,Brown     ,Julie    
10391,24,100,2416.6,3/9/2005 0:00  ,Shipped   ,1,3,2005,Classic Cars,S10_1949,"Anna's Decorations, Ltd       ",02 9936 8555    ,201 Miller Street                       ,North Sydney  ,NSW       ,2060    ,Australia    ,O'Hara    ,Anna     
10411,23,100,4140.2,5/1/2005 0:00  ,Shipped   ,2,5,2005,Classic Cars,S10_1949,Qu‚bec Home Shopping Network  ,(514) 555-8054  ,43 rue St. Laurent                      ,Montr‚al      ,Qu‚bec    ,H1J 1C3 ,Canada       ,FresniŠre ,Jean     
10424,50,100,12001,5/31/2005 0:00 ,In Process,2,5,2005,Classic Cars,S10_1949,Euro+ Shopping Channel        ,(91) 555 94 44  ,"C/ Moralzarzal, 86                      ",Madrid        ,,28034   ,Spain        ,Freyre    ,Diego    
10107,39,99.9,3896.5,2/24/2003 0:00 ,Shipped   ,1,2,2003,Motorcycles ,S10_2016,Land of Toys Inc.             ,2125557818      ,897 Long Airport Avenue                 ,NYC           ,NY        ,10022   ,USA          ,Yu        ,Kwai     
10120,29,96.3,2793.9,4/29/2003 0:00 ,Shipped   ,2,4,2003,Motorcycles ,S10_2016,"Australian Collectors, Co.    ",03 9520 4555    ,636 St Kilda Road                       ,Melbourne     ,Victoria  ,3004    ,Australia    ,Ferguson  ,Peter    
10134,27,100,3307.8,7/1/2003 0:00  ,Shipped   ,3,7,2003,Motorcycles ,S10_2016,Lyon Souveniers               ,+33 1 46 62 7555,27 rue du Colonel Pierre Avia           ,Paris         ,,75508   ,France       ,Da Cunha  ,Daniel   
10145,37,100,5192.9,8/25/2003 0:00 ,Shipped   ,3,8,2003,Motorcycles ,S10_2016,Toys4GrownUps.com             ,6265557265      ,78934 Hillside Dr.                      ,Pasadena      ,CA        ,90003   ,USA          ,Young     ,Julie    
10159,37,100,5016.8,10/10/2003 0:00,Shipped   ,4,10,2003,Motorcycles ,S10_2016,Corporate Gift Ideas Co.      ,6505551386      ,7734 Strong St.                         ,San Francisco ,CA        ,,USA          ,Brown     ,Julie    
10168,27,100,3660.9,10/28/2003 0:00,Shipped   ,4,10,2003,Motorcycles ,S10_2016,Technics Stores Inc.          ,6505556809      ,9408 Furth Circle                       ,Burlingame    ,CA        ,94217   ,USA          ,Hirano    ,Juri     
10180,42,100,4695.6,11/11/2003 0:00,Shipped   ,4,11,2003,Motorcycles ,S10_2016,Daedalus Designs Imports      ,20.16.1555      ,"184, chauss‚e de Tournai                ",Lille         ,,59000   ,France       ,Ranc‚     ,Martine  
10188,38,96.3,3660.9,11/18/2003 0:00,Shipped   ,4,11,2003,Motorcycles ,S10_2016,Herkku Gifts                  ,+47 2267 3215   ,"Drammen 121, PR 744 Sentrum             ",Bergen        ,,N 5804  ,Norway       ,Oeztan    ,Veysel   
10201,24,100,3025.9,12/1/2003 0:00 ,Shipped   ,4,12,2003,Motorcycles ,S10_2016,Mini Wheels Co.               ,6505555787      ,5557 North Pendale Street               ,San Francisco ,CA        ,,USA          ,Murphy    ,Julie    
10210,23,100,3009.1,1/12/2004 0:00 ,Shipped   ,1,1,2004,Motorcycles ,S10_2016,Osaka Souveniers Co.          ,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka         ,Osaka     ,530-0003,Japan        ,Kentary   ,Mory     
10223,47,100,5422.4,2/20/2004 0:00 ,Shipped   ,1,2,2004,Motorcycles ,S10_2016,"Australian Collectors, Co.    ",03 9520 4555    ,636 St Kilda Road                       ,Melbourne     ,Victoria  ,3004    ,Australia    ,Ferguson  ,Peter    
10236,22,100,2852.1,4/3/2004 0:00  ,Shipped   ,2,4,2004,Motorcycles ,S10_2016,Motor Mint Distributors Inc.  ,2155559857      ,11328 Douglas Av.                       ,Philadelphia  ,PA        ,71270   ,USA          ,Hernandez ,Rosa     
10251,44,100,5756.5,5/18/2004 0:00 ,Shipped   ,2,5,2004,Motorcycles ,S10_2016,Tekni Collectables Inc.       ,2015559350      ,7476 Moss Rd.                           ,Newark        ,NJ        ,94019   ,USA          ,Brown     ,William  
10263,40,100,4472,6/28/2004 0:00 ,Shipped   ,2,6,2004,Motorcycles ,S10_2016,Gift Depot Inc.               ,2035552570      ,25593 South Bay Ln.                     ,Bridgewater   ,CT        ,97562   ,USA          ,King      ,Julie    
10275,22,100,2904.4,7/23/2004 0:00 ,Shipped   ,3,7,2004,Motorcycles ,S10_2016,La Rochelle Gifts             ,40.67.8555      ,"67, rue des Cinquante Otages            ",Nantes        ,,44000   ,France       ,Labrune   ,Janine   
10285,47,100,6484.6,8/27/2004 0:00 ,Shipped   ,3,8,2004,Motorcycles ,S10_2016,Marta's Replicas Co.          ,6175558555      ,39323 Spinnaker Dr.                     ,Cambridge     ,MA        ,51247   ,USA          ,Hernandez ,Marta    
10298,39,96.3,3757.3,9/27/2004 0:00 ,Shipped   ,3,9,2004,Motorcycles ,S10_2016,Atelier graphique             ,40.32.2555      ,"54, rue Royale                          ",Nantes        ,,44000   ,France       ,Schmitt   ,Carine   
10308,34,100,4044,10/15/2004 0:00,Shipped   ,4,10,2004,Motorcycles ,S10_2016,Mini Classics                 ,9145554562      ,3758 North Pendale Street               ,White Plains  ,NY        ,24067   ,USA          ,Frick     ,Steve    
10318,45,100,5566.5,11/2/2004 0:00 ,Shipped   ,4,11,2004,Motorcycles ,S10_2016,Diecast Classics Inc.         ,2155551555      ,7586 Pompton St.                        ,Allentown     ,PA        ,70267   ,USA          ,Yu        ,Kyung    
10329,20,100,3176,11/15/2004 0:00,Shipped   ,4,11,2004,Motorcycles ,S10_2016,Land of Toys Inc.             ,2125557818      ,897 Long Airport Avenue                 ,NYC           ,NY        ,10022   ,USA          ,Yu        ,Kwai     
10339,40,68.9,2756.8,11/23/2004 0:00,Shipped   ,4,11,2004,Motorcycles ,S10_2016,"Tokyo Collectables, Ltd       ",+81 3 3584 0555 ,2-2-8 Roppongi                          ,Minato-ku     ,Tokyo     ,106-0032,Japan        ,Shimamura ,Akiko    
10361,26,51.1,1329.9,12/17/2004 0:00,Shipped   ,4,12,2004,Motorcycles ,S10_2016,Souveniers And Things Co.     ,+61 2 9495 8555 ,"Monitor Money Building, 815 Pacific Hwy ",Chatswood     ,NSW       ,2067    ,Australia    ,Huxley    ,Adrian   
10374,39,100,5288,2/2/2005 0:00  ,Shipped   ,1,2,2005,Motorcycles ,S10_2016,"Australian Gift Network, Co   ",61-7-3844-6555  ,31 Duncan St. West End                  ,South Brisbane,Queensland,4101    ,Australia    ,Calaghan  ,Tony     
10388,50,44.5,2225.5,3/3/2005 0:00  ,Shipped   ,1,3,2005,Motorcycles ,S10_2016,FunGiftIdeas.com              ,5085552555      ,1785 First Street                       ,New Bedford   ,MA        ,50553   ,USA          ,Benitez   ,Violeta  
10402,45,100,5833.8,4/7/2005 0:00  ,Shipped   ,2,4,2005,Motorcycles ,S10_2016,Auto Canal+ Petit             ,(1) 47.55.6555  ,"25, rue Lauriston                       ",Paris         ,,75016   ,France       ,Perrier   ,Dominique
10417,45,100,5887.4,5/13/2005 0:00 ,Disputed  ,2,5,2005,Motorcycles ,S10_2016,Euro+ Shopping Channel        ,(91) 555 94 44  ,"C/ Moralzarzal, 86                      ",Madrid        ,,28034   ,Spain        ,Freyre    ,Diego    
10107,27,100,6065.6,2/24/2003 0:00 ,Shipped   ,1,2,2003,Motorcycles ,S10_4698,Land of Toys Inc.             ,2125557818      ,897 Long Airport Avenue                 ,NYC           ,NY        ,10022   ,USA          ,Yu        ,Kwai     
10120,46,100,9264.9,4/29/2003 0:00 ,Shipped   ,2,4,2003,Motorcycles ,S10_4698,"Australian Collectors, Co.    ",03 9520 4555    ,636 St Kilda Road                       ,Melbourne     ,Victoria  ,3004    ,Australia    ,Ferguson  ,Peter    
10134,31,100,7024,7/1/2003 0:00  ,Shipped   ,3,7,2003,Motorcycles ,S10_4698,Lyon Souveniers               ,+33 1 46 62 7555,27 rue du Colonel Pierre Avia           ,Paris         ,,75508   ,France       ,Da Cunha  ,Daniel   
10145,33,100,5176.4,8/25/2003 0:00 ,Shipped   ,3,8,2003,Motorcycles ,S10_4698,Toys4GrownUps.com             ,6265557265      ,78934 Hillside Dr.                      ,Pasadena      ,CA        ,90003   ,USA          ,Young     ,Julie    
10159,22,100,4132.7,10/10/2003 0:00,Shipped   ,4,10,2003,Motorcycles ,S10_4698,Corporate Gift Ideas Co.      ,6505551386      ,7734 Strong St.                         ,San Francisco ,CA        ,,USA          ,Brown     ,Julie    
10168,20,100,4183,10/28/2003 0:00,Shipped   ,4,10,2003,Motorcycles ,S10_4698,Technics Stores Inc.          ,6505556809      ,9408 Furth Circle                       ,Burlingame    ,CA        ,94217   ,USA          ,Hirano    ,Juri     
10180,41,100,8892.9,11/11/2003 0:00,Shipped   ,4,11,2003,Motorcycles ,S10_4698,Daedalus Designs Imports      ,20.16.1555      ,"184, chauss‚e de Tournai                ",Lille         ,,59000   ,France       ,Ranc‚     ,Martine  
10188,45,100,8714.7,11/18/2003 0:00,Shipped   ,4,11,2003,Motorcycles ,S10_4698,Herkku Gifts                  ,+47 2267 3215   ,"Drammen 121, PR 744 Sentrum             ",Bergen        ,,N 5804  ,Norway       ,Oeztan    ,Veysel   
10201,49,100,8065.9,12/1/2003 0:00 ,Shipped   ,4,12,2003,Motorcycles ,S10_4698,Mini Wheels Co.               ,6505555787      ,5557 North Pendale Street               ,San Francisco ,CA        ,,USA          ,Murphy    ,Julie    
10210,34,100,6123.4,1/12/2004 0:00 ,Shipped   ,1,1,2004,Motorcycles ,S10_4698,Osaka Souveniers Co.          ,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka         ,Osaka     ,530-0003,Japan        ,Kentary   ,Mory     
10223,49,100,9774,2/20/2004 0:00 ,Shipped   ,1,2,2004,Motorcycles ,S10_4698,"Australian Collectors, Co.    ",03 9520 4555    ,636 St Kilda Road                       ,Melbourne     ,Victoria  ,3004    ,Australia    ,Ferguson  ,Peter    
10237,39,100,7023.9,4/5/2004 0:00  ,Shipped   ,2,4,2004,Motorcycles ,S10_4698,Vitachrome Inc.               ,2125551500      ,2678 Kingston Rd.                       ,NYC           ,NY        ,10022   ,USA          ,Frick     ,Michael  
10251,43,100,7078.2,5/18/2004 0:00 ,Shipped   ,2,5,2004,Motorcycles ,S10_4698,Tekni Collectables Inc.       ,2015559350      ,7476 Moss Rd.                           ,Newark        ,NJ        ,94019   ,USA          ,Brown     ,William  
10263,41,100,8336.9,6/28/2004 0:00 ,Shipped   ,2,6,2004,Motorcycles ,S10_4698,Gift Depot Inc.               ,2035552570      ,25593 South Bay Ln.                     ,Bridgewater   ,CT        ,97562   ,USA          ,King      ,Julie    
10275,36,100,6901.9,7/23/2004 0:00 ,Shipped   ,3,7,2004,Motorcycles ,S10_4698,La Rochelle Gifts             ,40.67.8555      ,"67, rue des Cinquante Otages            ",Nantes        ,,44000   ,France       ,Labrune   ,Janine   
10285,27,100,5438.1,8/27/2004 0:00 ,Shipped   ,3,8,2004,Motorcycles ,S10_4698,Marta's Replicas Co.          ,6175558555      ,39323 Spinnaker Dr.                     ,Cambridge     ,MA        ,51247   ,USA          ,Hernandez ,Marta    
10299,29,100,6683.3,9/30/2004 0:00 ,Shipped   ,3,9,2004,Motorcycles ,S10_4698,"Toys of Finland, Co.          ",90-224 8555     ,Keskuskatu 45                           ,Helsinki      ,,21240   ,Finland      ,Karttunen ,Matti    
10308,20,100,4570.4,10/15/2004 0:00,Shipped   ,4,10,2004,Motorcycles ,S10_4698,Mini Classics                 ,9145554562      ,3758 North Pendale Street               ,White Plains  ,NY        ,24067   ,USA          ,Frick     ,Steve    
10318,37,100,7667.1,11/2/2004 0:00 ,Shipped   ,4,11,2004,Motorcycles ,S10_4698,Diecast Classics Inc.         ,2155551555      ,7586 Pompton St.                        ,Allentown     ,PA        ,70267   ,USA          ,Yu        ,Kyung    
10329,26,100,5868.2,11/15/2004 0:00,Shipped   ,4,11,2004,Motorcycles ,S10_4698,Land of Toys Inc.             ,2125557818      ,897 Long Airport Avenue                 ,NYC           ,NY        ,10022   ,USA          ,Yu        ,Kwai     
10339,39,76.7,2990.1,11/23/2004 0:00,Shipped   ,4,11,2004,Motorcycles ,S10_4698,"Tokyo Collectables, Ltd       ",+81 3 3584 0555 ,2-2-8 Roppongi                          ,Minato-ku     ,Tokyo     ,106-0032,Japan        ,Shimamura ,Akiko    
10362,22,100,3664.1,1/5/2005 0:00  ,Shipped   ,1,1,2005,Motorcycles ,S10_4698,Technics Stores Inc.          ,6505556809      ,9408 Furth Circle                       ,Burlingame    ,CA        ,94217   ,USA          ,Hirano    ,Juri     
10374,22,100,3834.4,2/2/2005 0:00  ,Shipped   ,1,2,2005,Motorcycles ,S10_4698,"Australian Gift Network, Co   ",61-7-3844-6555  ,31 Duncan St. West End                  ,South Brisbane,Queensland,4101    ,Australia    ,Calaghan  ,Tony     
10388,21,86.8,1822.2,3/3/2005 0:00  ,Shipped   ,1,3,2005,Motorcycles ,S10_4698,FunGiftIdeas.com              ,5085552555      ,1785 First Street                       ,New Bedford   ,MA        ,50553   ,USA          ,Benitez   ,Violeta  
10403,66,100,11886.6,4/8/2005 0:00  ,Shipped   ,2,4,2005,Motorcycles ,S10_4698,"UK Collectables, Ltd.         ",(171) 555-2282  ,Berkeley Gardens 12  Brewery            ,Liverpool     ,,WX1 6LT ,UK           ,Devon     ,Elizabeth
10417,56,100,9218.2,5/13/2005 0:00 ,Disputed  ,2,5,2005,Motorcycles ,S10_4698,Euro+ Shopping Channel        ,(91) 555 94 44  ,"C/ Moralzarzal, 86                      ",Madrid        ,,28034   ,Spain        ,Freyre    ,Diego    
10105,50,100,7208,2/11/2003 0:00 ,Shipped   ,1,2,2003,Classic Cars,S10_4757,Danish Wholesale Imports      ,31 12 3555      ,Vinb‘ltet 34                            ,Kobenhavn     ,,1734    ,Denmark      ,Petersen  ,Jytte    
10119,46,100,5004.8,4/28/2003 0:00 ,Shipped   ,2,4,2003,Classic Cars,S10_4757,Salzburg Collectables         ,6562-9555       ,Geislweg 14                             ,Salzburg      ,,5020    ,Austria      ,Pipps     ,Georg    
10129,33,100,4398.2,6/12/2003 0:00 ,Shipped   ,2,6,2003,Classic Cars,S10_4757,"Stylish Desk Decors, Co.      ",(171) 555-0297  ,35 King George                          ,London        ,,WX3 6FW ,UK           ,Brown     ,Ann      
10143,49,100,5597.8,8/10/2003 0:00 ,Shipped   ,3,8,2003,Classic Cars,S10_4757,Mini Creations Ltd.           ,5085559555      ,4575 Hillside Dr.                       ,New Bedford   ,MA        ,50553   ,USA          ,Tam       ,Wing C   
